Zona,Total
13. Puente de Vallecas,9910
Ciudad de Madrid,8669
04. Salamanca,6310
11. Carabanchel,5290
15. Ciudad Lineal,5140
06. Tetuán,4690
10. Latina,4640
12. Usera,3410
20. San Blas-Canillejas,3270
17. Villaverde,3030
08. Fuencarral-El Pardo,2820
02. Arganzuela,2660
05. Chamartín,2630
16. Hortaleza,2480
09. Moncloa-Aravaca,2370
18. Villa de Vallecas,2210
07. Chamberí,2080
01. Centro,1995
03. Retiro,1290
21. Barajas,930
19. Vicálvaro,830
14. Moratalaz,750
Otras zonas,0
